Condition,Conflict,Correct,Duration,Flanker,Position,Stimuli,Trial,prob
1,1,2,1.25,0,2,020,100,0.2
1,1,3,1.25,0,3,003,104,0.2
1,1,1,1.25,0,1,100,108,0.2
2,0,3,1.25,2,2,232,98,0.2
1,1,1,1.25,0,1,100,112,0.2
1,1,3,1.25,0,3,003,116,0.2
1,1,2,1.25,0,2,020,120,0.2
1,1,3,1.25,0,3,003,124,0.2
2,3,3,1.25,2,1,322,102,0.2
1,1,2,1.25,0,2,020,130,0.2
2,3,2,1.25,3,1,233,106,0.2
1,2,3,1.25,0,3,003,132,0.2
1,1,2,1.25,0,2,020,136,0.2
1,2,2,1.25,0,2,020,138,0.2
2,3,3,1.25,2,1,322,110,0.2
1,1,3,1.25,0,3,003,144,0.2
1,2,1,1.25,0,1,100,146,0.2
1,1,1,1.25,0,1,100,152,0.2
1,2,3,1.25,0,3,003,154,0.2
1,1,2,1.25,0,2,020,160,0.2
2,3,2,1.25,1,1,211,114,0.75
2,3,3,1.25,1,2,131,118,0.75
1,2,3,1.25,0,3,003,162,0.75
2,3,3,1.25,1,1,311,122,0.75
1,1,2,1.25,0,2,020,168,0.75
2,3,1,1.25,3,3,331,126,0.75
2,0,1,1.25,2,2,221,128,0.75
2,3,3,1.25,2,2,232,134,0.75
1,2,1,1.25,0,1,100,170,0.75
2,3,1,1.25,2,2,221,140,0.75
2,0,3,1.25,1,2,131,142,0.75
2,3,1,1.25,3,2,313,148,0.75
1,1,1,1.25,0,1,100,176,0.75
2,0,2,1.25,3,3,332,150,0.75
2,3,1,1.25,2,2,212,156,0.75
2,0,3,1.25,1,1,311,158,0.75
1,1,2,1.25,0,2,020,180,0.75
2,3,1,1.25,3,3,331,164,0.75
2,0,2,1.25,3,1,233,166,0.75
1,2,1,1.25,0,1,100,182,0.75
2,3,2,1.25,1,3,112,172,0.75
2,0,2,1.25,3,3,332,174,0.75
2,3,1,1.25,2,2,212,178,0.75
1,1,3,1.25,0,3,003,186,0.75
2,3,1,1.25,3,2,313,184,0.75
2,3,2,1.25,1,3,112,188,0.75
2,3,2,1.25,1,1,211,192,0.75
2,0,2,1.25,3,1,233,386,0.75
2,3,2,1.25,1,3,112,392,0.75
2,3,1,1.25,3,3,331,396,0.75
2,3,3,1.25,1,1,311,400,0.75
1,1,1,1.25,0,1,100,190,0.75
2,0,1,1.25,2,2,221,402,0.75
2,3,1,1.25,2,2,221,406,0.75
1,1,1,1.25,0,1,100,388,0.75
2,3,3,1.25,2,2,232,410,0.75
2,3,1,1.25,3,2,313,416,0.75
2,0,1,1.25,2,2,212,418,0.75
1,2,1,1.25,0,1,100,390,0.75
2,3,2,1.25,3,1,233,424,0.75
2,0,3,1.25,2,1,322,426,0.75
2,3,2,1.25,3,3,332,432,0.75
1,1,3,1.25,0,3,003,394,0.75
2,0,3,1.25,2,1,322,434,0.75
1,1,1,1.25,0,1,100,398,0.75
2,3,1,1.25,3,2,313,440,0.75
2,0,3,1.25,1,1,311,442,0.75
2,3,2,1.25,1,1,211,446,0.75
1,1,3,1.25,0,3,003,404,0.75
2,3,2,1.25,1,3,112,452,0.75
2,0,3,1.25,1,2,131,454,0.75
2,3,2,1.25,3,3,332,460,0.75
1,1,3,1.25,0,3,003,408,0.75
2,0,3,1.25,2,2,232,462,0.75
2,3,2,1.25,1,1,211,466,0.75
2,3,3,1.25,1,2,131,472,0.75
1,1,2,1.25,0,2,020,412,0.2
1,2,3,1.25,0,3,003,414,0.2
1,1,3,1.25,0,3,003,420,0.2
2,0,1,1.25,2,2,212,474,0.2
1,2,2,1.25,0,2,020,422,0.2
1,1,1,1.25,0,1,100,428,0.2
1,2,1,1.25,0,1,100,430,0.2
2,3,1,1.25,3,3,331,480,0.2
